filename,width,height,class,xmin,ymin,xmax,ymax
IMG_4055_JPG.rf.005fde520e436e794e335e872dba4347.jpg,640,640,right,136,269,411,376
IMG_2775_JPG.rf.0007fd910586f83cf40c9f6d057ccb35.jpg,640,640,left,82,360,337,484
IMG_3154_JPG.rf.006cf4704577b399b84303bbb279461f.jpg,640,640,down,187,267,334,513
IMG_2464_JPG.rf.00596f4763f6100dbf0cb5f4906b299a.jpg,640,640,right,149,343,378,477
IMG_2330_JPG.rf.0014d79ebe2861600df1ca4defdf6a3c.jpg,640,640,up,166,271,323,511
IMG_4298_JPG.rf.00a1eceaf9bfc110e58c47c32873c351.jpg,640,640,left,4,315,323,446
IMG_2318_JPG.rf.005c193dec0f7782ce2a749b3e498b24.jpg,640,640,up,164,253,288,511
IMG_3973_JPG.rf.001248d34904eb28b46d70501db56347.jpg,640,640,right,128,254,423,376
IMG_2616_JPG.rf.0041fdf480ae5b44d7b92d8d39cfe10a.jpg,640,640,right,140,313,368,450
IMG_3049_JPG.rf.0047a3a69f6b19aeb898aa3454db36b6.jpg,640,640,down,61,278,209,558
IMG_2558_JPG.rf.0019015a01c02205c93fa4b5aa59e24e.jpg,640,640,right,134,313,360,448
IMG_3322_JPG.rf.008827a8ed0740a8752503df55d04c18.jpg,640,640,down,210,238,365,468
IMG_3088_JPG.rf.00592f53520eff40b31039bfd54d95dd.jpg,640,640,down,194,247,343,524
IMG_2510_JPG.rf.0073af37fa55ae2d950a5b0c91138846.jpg,640,640,right,133,328,379,463
IMG_2340_JPG.rf.0047001276c6fe8111fbf73bc88ee333.jpg,640,640,up,167,252,291,508
IMG_4031_JPG.rf.0097a3feb6df516457b841f790638238.jpg,640,640,right,131,258,412,371
IMG_2344_JPG.rf.00bf49e636f0b61d4ed08d58d0cbce1d.jpg,640,640,up,162,254,285,508
IMG_2618_JPG.rf.00c74dde984cb5a7aafd878310c1c2d7.jpg,640,640,right,135,316,368,448
IMG_3653_JPG.rf.00b1a771d732200d388aa7adb786d75a.jpg,640,640,up,168,218,368,430
IMG_4028_JPG.rf.004cf443ce54980d91a65efa0133f4fa.jpg,640,640,right,121,258,424,365
IMG_4947_JPG.rf.00a89bc78c80a86e9bf733d6cca39578.jpg,640,640,down,96,248,275,481
IMG_3539_JPG.rf.005c8a35504360daa54828aaefec49eb.jpg,640,640,up,190,214,342,460
IMG_4191_JPG.rf.00a4e43d64f73c4926d1ec51b0ae9b7c.jpg,640,640,left,45,285,355,430
